# name	module	support lane	owner
TRANSFORM_SAMPLE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_SORT	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_STACK	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_HISTOGRAM	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_DENSITY	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_ECDF	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_BOX	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_HEATMAP	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_HEXBIN	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_REGRESSION	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TYPE_BOOL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TYPE_NOMINAL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TYPE_ORDINAL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TYPE_QUANTITATIVE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TYPE_TEMPORAL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
channel_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
composition_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
data_type_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
interaction_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
plot_mark_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
scale_kind_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
transform_name	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
PlotAnnotation	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PlotEncoding	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PlotLayer	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PlotInteraction	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PlotScaleSpec	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PlotTransform	moxi_plot.plot_spec_types	provisional	typed plotting data, specification, or runtime
PLOT_SPEC_VERSION	moxi_plot.plot_spec	provisional	typed plotting data, specification, or runtime
PlotSpec	moxi_plot.plot_spec	provisional	typed plotting data, specification, or runtime
plot_from_spec	moxi_plot.plot_spec	provisional	typed plotting data, specification, or runtime
plot_spec_from_json	moxi_plot.plot_spec	provisional	typed plotting data, specification, or runtime
PlotRuntime	moxi_plot.plot_runtime	provisional	typed plotting data, specification, or runtime
PlotControl	moxi_plot.plot_view	provisional	typed plotting data, specification, or runtime
PlotView	moxi_plot.plot_view	provisional	typed plotting data, specification, or runtime
PlotLink	moxi_plot.plot_link	provisional	typed plotting data, specification, or runtime
