# name	kind	replacement	introduced	remove_after
PLOT_BUMP	moved	moxi_plot.PLOT_BUMP	0.6	never
PLOT_CALENDAR_HEATMAP	moved	moxi_plot.PLOT_CALENDAR_HEATMAP	0.6	never
PLOT_CANDLESTICK	moved	moxi_plot.PLOT_CANDLESTICK	0.6	never
PLOT_CHORD	moved	moxi_plot.PLOT_CHORD	0.6	never
PLOT_COLUMN	moved	moxi_plot.PLOT_COLUMN	0.6	never
PLOT_CONTOUR	moved	moxi_plot.PLOT_CONTOUR	0.6	never
PLOT_CONTOURF	moved	moxi_plot.PLOT_CONTOURF	0.6	never
PLOT_CORRPLOT	moved	moxi_plot.PLOT_CORRPLOT	0.6	never
PLOT_DENSITY	moved	moxi_plot.PLOT_DENSITY	0.6	never
PLOT_DONUT	moved	moxi_plot.PLOT_DONUT	0.6	never
PLOT_DOT	moved	moxi_plot.PLOT_DOT	0.6	never
PLOT_ECDF	moved	moxi_plot.PLOT_ECDF	0.6	never
PLOT_EFFECT_SCATTER	moved	moxi_plot.PLOT_EFFECT_SCATTER	0.6	never
PLOT_ERROR_BAR	moved	moxi_plot.PLOT_ERROR_BAR	0.6	never
PLOT_FUNNEL	moved	moxi_plot.PLOT_FUNNEL	0.6	never
PLOT_GANTT	moved	moxi_plot.PLOT_GANTT	0.6	never
PLOT_GAUGE	moved	moxi_plot.PLOT_GAUGE	0.6	never
PLOT_GRAPH	moved	moxi_plot.PLOT_GRAPH	0.6	never
PLOT_GROUPED_BAR	moved	moxi_plot.PLOT_GROUPED_BAR	0.6	never
PLOT_HEATMAP	moved	moxi_plot.PLOT_HEATMAP	0.6	never
PLOT_HEXBIN	moved	moxi_plot.PLOT_HEXBIN	0.6	never
PLOT_HISTOGRAM	moved	moxi_plot.PLOT_HISTOGRAM	0.6	never
PLOT_INTERVAL	moved	moxi_plot.PLOT_INTERVAL	0.6	never
PLOT_LINE	moved	moxi_plot.PLOT_LINE	0.6	never
PLOT_LOLLIPOP	moved	moxi_plot.PLOT_LOLLIPOP	0.6	never
PLOT_MARIMEKKO	moved	moxi_plot.PLOT_MARIMEKKO	0.6	never
PLOT_NIGHTINGALE	moved	moxi_plot.PLOT_NIGHTINGALE	0.6	never
PLOT_PARALLEL	moved	moxi_plot.PLOT_PARALLEL	0.6	never
PLOT_PIE	moved	moxi_plot.PLOT_PIE	0.6	never
PLOT_POLAR	moved	moxi_plot.PLOT_POLAR	0.6	never
PLOT_POLAR_BAR	moved	moxi_plot.PLOT_POLAR_BAR	0.6	never
PLOT_POPULATION_PYRAMID	moved	moxi_plot.PLOT_POPULATION_PYRAMID	0.6	never
PLOT_PUNCHCARD	moved	moxi_plot.PLOT_PUNCHCARD	0.6	never
PLOT_RADAR	moved	moxi_plot.PLOT_RADAR	0.6	never
PLOT_RADIALBAR	moved	moxi_plot.PLOT_RADIALBAR	0.6	never
PLOT_RECT	moved	moxi_plot.PLOT_RECT	0.6	never
PLOT_REGRESSION	moved	moxi_plot.PLOT_REGRESSION	0.6	never
PLOT_RIDGELINE	moved	moxi_plot.PLOT_RIDGELINE	0.6	never
PLOT_RULE	moved	moxi_plot.PLOT_RULE	0.6	never
PLOT_SANKEY	moved	moxi_plot.PLOT_SANKEY	0.6	never
PLOT_SCATTER	moved	moxi_plot.PLOT_SCATTER	0.6	never
PLOT_SPAN_CHART	moved	moxi_plot.PLOT_SPAN_CHART	0.6	never
PLOT_SPEC_VERSION	moved	moxi_plot.PLOT_SPEC_VERSION	0.6	never
PLOT_STACKED_BAR	moved	moxi_plot.PLOT_STACKED_BAR	0.6	never
PLOT_STEP	moved	moxi_plot.PLOT_STEP	0.6	never
PLOT_STREAMGRAPH	moved	moxi_plot.PLOT_STREAMGRAPH	0.6	never
PLOT_SUNBURST	moved	moxi_plot.PLOT_SUNBURST	0.6	never
PLOT_TEXT	moved	moxi_plot.PLOT_TEXT	0.6	never
PLOT_TICK	moved	moxi_plot.PLOT_TICK	0.6	never
PLOT_TREE	moved	moxi_plot.PLOT_TREE	0.6	never
PLOT_TREEMAP	moved	moxi_plot.PLOT_TREEMAP	0.6	never
PLOT_TRICONTOUR	moved	moxi_plot.PLOT_TRICONTOUR	0.6	never
PLOT_VIOLIN	moved	moxi_plot.PLOT_VIOLIN	0.6	never
PLOT_WATERFALL	moved	moxi_plot.PLOT_WATERFALL	0.6	never
Plot	moved	moxi_plot.Plot	0.6	never
PlotAnnotation	moved	moxi_plot.PlotAnnotation	0.6	never
PlotColumn	moved	moxi_plot.PlotColumn	0.6	never
PlotControl	moved	moxi_plot.PlotControl	0.6	never
PlotDataSnapshot	moved	moxi_plot.PlotDataSnapshot	0.6	never
PlotDataTable	moved	moxi_plot.PlotDataTable	0.6	never
PlotDataView	moved	moxi_plot.PlotDataView	0.6	never
PlotEncoding	moved	moxi_plot.PlotEncoding	0.6	never
PlotHit	moved	moxi_plot.PlotHit	0.6	never
PlotInteraction	moved	moxi_plot.PlotInteraction	0.6	never
PlotLayer	moved	moxi_plot.PlotLayer	0.6	never
PlotLink	moved	moxi_plot.PlotLink	0.6	never
PlotPoint	moved	moxi_plot.PlotPoint	0.6	never
PlotRuntime	moved	moxi_plot.PlotRuntime	0.6	never
PlotScale	moved	moxi_plot.PlotScale	0.6	never
PlotScaleSpec	moved	moxi_plot.PlotScaleSpec	0.6	never
PlotSeries	moved	moxi_plot.PlotSeries	0.6	never
PlotSpec	moved	moxi_plot.PlotSpec	0.6	never
PlotTransform	moved	moxi_plot.PlotTransform	0.6	never
PlotView	moved	moxi_plot.PlotView	0.6	never
SCALE_BAND	moved	moxi_plot.SCALE_BAND	0.6	never
SCALE_CATEGORICAL	moved	moxi_plot.SCALE_CATEGORICAL	0.6	never
SCALE_DIVERGING	moved	moxi_plot.SCALE_DIVERGING	0.6	never
SCALE_LINEAR	moved	moxi_plot.SCALE_LINEAR	0.6	never
SCALE_LOG	moved	moxi_plot.SCALE_LOG	0.6	never
SCALE_ORDINAL	moved	moxi_plot.SCALE_ORDINAL	0.6	never
SCALE_POINT	moved	moxi_plot.SCALE_POINT	0.6	never
SCALE_POWER	moved	moxi_plot.SCALE_POWER	0.6	never
SCALE_QUANTILE	moved	moxi_plot.SCALE_QUANTILE	0.6	never
SCALE_QUANTIZE	moved	moxi_plot.SCALE_QUANTIZE	0.6	never
SCALE_SEQUENTIAL	moved	moxi_plot.SCALE_SEQUENTIAL	0.6	never
SCALE_SQRT	moved	moxi_plot.SCALE_SQRT	0.6	never
SCALE_SYMLOG	moved	moxi_plot.SCALE_SYMLOG	0.6	never
SCALE_TEMPORAL	moved	moxi_plot.SCALE_TEMPORAL	0.6	never
SCALE_THRESHOLD	moved	moxi_plot.SCALE_THRESHOLD	0.6	never
SHOWCASE_ANIMATION	moved	moxi_demo.SHOWCASE_ANIMATION	0.6	never
SHOWCASE_CANVAS_ID	moved	moxi_demo.SHOWCASE_CANVAS_ID	0.6	never
SHOWCASE_CORETEXT	moved	moxi_demo.SHOWCASE_CORETEXT	0.6	never
SHOWCASE_HARFBUZZ	moved	moxi_demo.SHOWCASE_HARFBUZZ	0.6	never
SHOWCASE_HELLO_COMPONENT	moved	moxi_demo.SHOWCASE_HELLO_COMPONENT	0.6	never
SHOWCASE_HELLO_WINDOW	moved	moxi_demo.SHOWCASE_HELLO_WINDOW	0.6	never
SHOWCASE_METAL_SCENE	moved	moxi_demo.SHOWCASE_METAL_SCENE	0.6	never
SHOWCASE_METAL_WINDOW	moved	moxi_demo.SHOWCASE_METAL_WINDOW	0.6	never
SHOWCASE_PLOT	moved	moxi_demo.SHOWCASE_PLOT	0.6	never
SHOWCASE_PLOT_CLEAR_SELECTION_ID	moved	moxi_demo.SHOWCASE_PLOT_CLEAR_SELECTION_ID	0.6	never
SHOWCASE_PLOT_GALLERY	moved	moxi_demo.SHOWCASE_PLOT_GALLERY	0.6	never
SHOWCASE_PLOT_RESET_VIEW_ID	moved	moxi_demo.SHOWCASE_PLOT_RESET_VIEW_ID	0.6	never
